feature,importance
at,0.0005899843662462765
char_rt,0.000589419444759449
char_@a,0.0005893788796823467
char_fa,0.0005868470049223667
char_ ho,0.0005846156484017184
char_ eve,0.0005839639878721507
char_just,0.0005798958673014363
char_'s ,0.0005796361041458884
char_ion,0.0005785529833581292
of,0.000577397545236526
char_ wan,0.0005766637348275333
char__ùõ,0.0005765896052900093
char_ill ,0.0005749731703775938
char_ai,0.0005732769328177004
char_ake,0.0005731834427396114
that,0.0005714856834825287
char_gir,0.0005703706600641916
char_ is,0.0005670951300625119
char_sp,0.0005662489908190086
char_ov,0.0005657997695204975
char_it ,0.0005657725005541863
char_lli,0.0005652709861687828
char_lly ,0.0005648249532479617
char_ pla,0.0005648002360975336
char_ no,0.0005629824536372128
char_ove ,0.0005629442415780116
char_ k,0.0005625559428848857
char_ul,0.0005622665719830925
char_ag,0.000561863422770156
char_some,0.0005609358118189994
char_ sa,0.0005604883170327227
char_...,0.0005598332510899193
char_t',0.0005588343899401088
char_gam,0.000557603398513302
char_ak,0.0005551264915387006
char_ate,0.0005538408925962478
char_out,0.0005534986840303674
char_ok,0.0005529403596523947
char_rie,0.0005519252891290685
char_ ar,0.0005506556507887103
char_ _ùõ,0.0005493660139392642
char_ is ,0.0005490536258684563
char_ju,0.0005478915357923201
char_ut ,0.000547089165376208
char_tha,0.0005467899390323633
char_di,0.0005466035269449191
char_ic,0.000545812857238475
n_exclamation,0.0005456034991869398
char_'t ,0.0005446246247323605
char_uc,0.0005445416033857354
char_ pr,0.0005438051664302071
char_ get,0.0005431133487317615
char_ sh,0.000542355195775085
char_her ,0.0005416533097028901
char__,0.0005404857578927086
char_ap,0.0005363954588378448
char_ - ,0.0005363627252213819
char_ ne,0.0005353741206174637
char_here,0.0005351455106617784
char_ jus,0.0005320504516635677
char_ co,0.0005290808969829332
she,0.0005288937116886095
char_ke ,0.0005281961677326224
char_ey ,0.0005272266903560583
char_ere ,0.0005271630637457009
char_ia,0.0005265617415859553
char_te ,0.0005265110156421085
char_c ,0.0005248110365302019
char_ty,0.0005239551465740445
char_ pe,0.0005236656608529434
just,0.0005233183953323
char_ se,0.0005223528638739552
char_nc,0.0005221420216469692
char_br,0.0005211149820168643
char_eo,0.0005203314978126604
me and,0.0005198190095986377
char_÷â,0.0005194162896729412
char_his,0.0005194036410097439
char_one,0.0005174433007995813
char_fr,0.000516198296473417
char_ wit,0.0005157891626404623
char_ gi,0.0005145520344720632
char_su,0.0005144523370475446
char_ al,0.0005141768553462631
char_your,0.0005137224236074696
char_now,0.0005129991722079017
char_his ,0.000512824230004379
char_s. ,0.0005125638899869914
char_nt ,0.0005115533506496354
char_jo,0.0005097789260946107
char_ld,0.0005091517450362192
char_jus,0.0005077776307686328
char_sta,0.0005073260082584391
char_ whe,0.000506888270694469
char_ gir,0.0005066920122771735
char_are ,0.0005052521303817295
char_ ju,0.0005041455553140957
char_id,0.0005036854903365958
char_ @t,0.0005020221289950004
char_n't ,0.0005002088496098793
char_day ,0.000500022969496291
char__,0.0004998528664636762
char_ü,0.0004991630176970814
char_: ,0.0004980502105572146
char_au,0.0004967490019723807
char_ci,0.0004967059524147884
char_one ,0.0004965483421537288
char_get,0.0004962318552968057
char_pi,0.0004959833488529358
char_nk,0.000495537257004871
char_ki,0.0004951593509569654
is,0.0004943912815066885
char_ wor,0.0004934828695537654
char_as ,0.000492344291936452
char_ all,0.00049217993472835
n_hashtag,0.0004918939561028211
char_t. ,0.0004918317906686307
char_not,0.0004915839374661334
char_ü,0.0004858814448526934
char_gr,0.0004850674391890106
char_ fi,0.00048268487676866097
char_na,0.0004820367664983472
char_dr,0.000479244872523563
he,0.000478824668077254
char_ hav,0.0004782212522895842
char_thin,0.0004780423956308864
char_this,0.0004777822171221489
all,0.00047711190442137943
char_ tr,0.0004764874658401974
love,0.0004762486692986248
char_with,0.0004746805012688649
char_ery,0.0004746380605736401
char_tor,0.00047334609769570106
char_ mo,0.00047254507960172885
char_÷_ ,0.000471918557716095
char_een,0.00046957700148270664
be,0.00046891710507937327
char_int,0.0004684916185053527
char_eat,0.0004672240327297288
char_ex,0.0004668985543551744
char_'t,0.00046648072109417793
char_rd,0.0004659964199288499
char_our ,0.0004653739855136864
char_vi,0.00046482214212853067
char_ne ,0.00046432491832767514
char_ch ,0.0004641296211078315
char_llo,0.0004638399828425351
char_hin,0.0004637110501892884
char_bi,0.00046271736114525115
char_ ta,0.00046187380617097504
char_rl,0.00046029750841502154
char_lly,0.0004600417778401801
char_ds,0.00045994753318551884
char_@n,0.0004578542291735416
get,0.00045768052508833075
char_min,0.0004548323738301544
char_ab,0.0004546859685080945
char_p ,0.0004545016071991425
char_dy,0.0004541667488203629
char_fe,0.0004536282607038643
char_get ,0.00045341749447921415
char_ru,0.0004513764058306661
char_ls,0.0004513498317855033
char_ns ,0.0004508308678332106
char_pla,0.0004502858920536918
char_rr,0.00045017122066754324
char_can,0.00044981111147451917
char_ v,0.0004488980393045555
char_irl,0.0004469725843401269
char_ple,0.00044480559455588076
char_t's ,0.00044333118960272186
char_ff,0.00044257819865777177
char_,0.0004424777220703459
with,0.0004421983404158927
char_ bu,0.00044114109300241104
char_ep,0.00044023229392891244
char_an',0.000437522831443362
char_... ,0.0004361767216051369
char_ ou,0.00043610535511995097
char_ce ,0.0004356793463191344
char_ef,0.00043390573854124606
char_ore,0.0004338032543432179
char_por,0.0004308936342143066
char_ pa,0.00043041774459253617
char_cha,0.0004294613077171144
